heart,heartLines,heartColor,love,loveLines,loveColor,gold,goldLines,goldColor,give,giveLines,giveColor,gods,godsLines,godsColor,eyes,eyesLines,eyesColor,welcome,welcomeLines,welcomeColor,want,wantLines,wantColor,fool,foolLines,foolColor,poor,poorLines,poorColor,keep,keepLines,keepColor,thyself,thyselfLines,thyselfColor,best,bestLines,bestColor,speak,speakLines,speakColor,gone,goneLines,goneColor,use,useLines,useColor,ne'er,ne'erLines,ne'erColor,friends,friendsLines,friendsColor,away,awayLines,awayColor,athens,athensLines,athensColor,master,masterLines,masterColor,take,takeLines,takeColor,time,timeLines,timeColor,lord,lordLines,lordColor,tell,tellLines,tellColor,friend,friendLines,friendColor,timon,timonLines,timonColor,noble,nobleLines,nobleColor,life,lifeLines,lifeColor,never,neverLines,neverColor,nature,natureLines,natureColor,honour,honourLines,honourColor,men,menLines,menColor,none,noneLines,noneColor,mine,mineLines,mineColor,hear,hearLines,hearColor,nothing,nothingLines,nothingColor,world,worldLines,worldColor,stay,stayLines,stayColor,true,trueLines,trueColor,day,dayLines,dayColor,man,manLines,manColor,great,greatLines,greatColor,fortune,fortuneLines,fortuneColor,money,moneyLines,moneyColor,dog,dogLines,dogColor,honest,honestLines,honestColor,apemantus,apemantusLines,apemantusColor,sent,sentLines,sentColor,lordship,lordshipLines,lordshipColor
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Jeweller,3,174.193548387, , , , , , ,First Stranger,5,17.4193548387, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,SEMPRONIUS,1,342.580645161, , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,CAPHIS,5,330.967741935, , , , , , ,FLAVIUS,7,243.870967742, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,LUCULLUS,3,185.806451613, , , , , , ,Senator,4,249.677419355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ALCIBIADES,9,191.612903226, , , , , , ,TIMON,14,272.903225806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Servant,9,203.225806452, , , , , , ,All Servants,1,278.709677419, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Third Servant,2,209.032258065, , , , , , ,Soldier,2,139.35483871, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TITUS,3,214.838709677, , , , , , ,First Senator,4,348.387096774, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,APEMANTUS,7,226.451612903, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Servants,1,238.064516129, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,FLAVIUS,23,243.870967742, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Senator,2,249.677419355, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All Ladies,1,255.483870968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,TIMON,13,272.903225806, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,All Servants,1,278.709677419, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Fool,1,290.322580645, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
